timestep_time,vehicle_CO,vehicle_CO2,vehicle_HC,vehicle_NOx,vehicle_PMx,vehicle_angle,vehicle_eclass,vehicle_electricity,vehicle_fuel,vehicle_id,vehicle_lane,vehicle_noise,vehicle_pos,vehicle_route,vehicle_speed,vehicle_type,vehicle_waiting,vehicle_x,vehicle_y
50.0,248.78,15553.82,1.52,6.69,0.36,142.31,HBEFA3/PC_G_EU4,0.0,4960.88,veh25,:250691664_2_2,75.67,5.01,!veh25!var#1,24.52,veh_passenger,0.0,23.730203,37.981716
50.0,135.62,3671.11,0.7,1.61,0.08,192.83,HBEFA3/PC_G_EU4,0.0,1170.95,veh50,:250714051_0_1,64.65,3.49,!veh50!var#1,3.09,veh_passenger,0.0,23.729308,37.984008
51.0,269.11,16249.79,1.63,6.98,0.39,140.86,HBEFA3/PC_G_EU4,0.0,5182.86,veh25,284241336#0_2,76.24,16.66,!veh25!var#1,26.23,veh_passenger,0.0,23.730382,37.981528
51.0,129.41,4713.73,0.7,2.05,0.1,217.59,HBEFA3/PC_G_EU4,0.0,1503.48,veh50,:250714051_0_1,66.51,8.52,!veh50!var#1,5.03,veh_passenger,0.0,23.729273,37.983974
52.0,229.15,14017.28,1.39,5.9,0.33,144.68,HBEFA3/PC_G_EU4,0.0,4470.81,veh25,284241336#0_2,75.48,44.14,!veh25!var#1,27.49,veh_passenger,0.0,23.73056,37.981323
52.0,136.81,6464.86,0.78,2.82,0.13,244.57,HBEFA3/PC_G_EU4,0.0,2061.99,veh50,189063911#0_2,69.06,4.13,!veh50!var#1,7.32,veh_passenger,0.0,23.729185,37.983948
53.0,96.34,5238.48,0.56,2.2,0.1,278.79,HBEFA3/PC_G_EU4,0.0,1670.84,veh50,189063911#0_2,65.95,12.84,!veh50!var#1,8.71,veh_passenger,0.0,23.729088,37.983962
54.0,126.02,7593.17,0.76,3.26,0.15,278.79,HBEFA3/PC_G_EU4,0.0,2421.85,veh50,189063911#0_2,69.29,23.51,!veh50!var#1,10.67,veh_passenger,0.0,23.728969,37.98398
55.0,0.0,0.0,0.0,0.0,0.0,189.87,HBEFA3/PC_G_EU4,0.0,0.0,veh37,10741722#2_0,68.6,2.74,!veh37!var#1,22.16,veh_passenger,0.0,23.72563,37.984877
55.0,176.27,10979.69,1.07,4.8,0.24,278.84,HBEFA3/PC_G_EU4,0.0,3501.97,veh50,189063911#0_3,72.86,36.71,!veh50!var#1,13.2,veh_passenger,0.0,23.728816,37.983973
56.0,86.76,7857.1,0.59,3.09,0.16,189.87,HBEFA3/PC_G_EU4,0.0,2506.03,veh37,10741722#2_0,71.6,25.59,!veh37!var#1,22.85,veh_passenger,0.0,23.725578,37.984676
56.0,0.0,1434.97,0.0,0.3,0.0,289.69,HBEFA3/PC_G_EU4,0.0,457.71,veh50,24218743_2,63.34,1.09,!veh50!var#1,12.96,veh_passenger,0.0,23.728675,37.984008
57.0,0.0,3568.97,0.08,1.07,0.05,191.17,HBEFA3/PC_G_EU4,0.0,1138.34,veh37,:250720872_1_0,70.14,16.18,!veh37!var#1,22.82,veh_passenger,0.0,23.725522,37.984476
57.0,0.0,2206.15,0.04,0.66,0.01,321.22,HBEFA3/PC_G_EU4,0.0,703.67,veh50,24218743_2,63.86,14.03,!veh50!var#1,12.94,veh_passenger,0.0,23.728564,37.984078
58.0,49.9,6041.47,0.38,2.23,0.11,192.43,HBEFA3/PC_G_EU4,0.0,1926.94,veh37,741087756#0_0,71.06,21.91,!veh37!var#1,23.18,veh_passenger,0.0,23.725458,37.984273
58.0,19.55,3386.23,0.17,1.21,0.04,338.24,HBEFA3/PC_G_EU4,0.0,1080.06,veh50,24218743_2,64.94,27.29,!veh50!var#1,13.26,veh_passenger,0.0,23.728506,37.984188
59.0,164.78,2624.72,0.81,1.2,0.07,260.96,HBEFA3/PC_G_EU4,0.0,837.22,veh102,168725549#0_2,55.94,5.1,!veh102!var#1,0.0,veh_passenger,0.0,23.728039,37.984377
59.0,0.0,0.0,0.0,0.0,0.0,192.43,HBEFA3/PC_G_EU4,0.0,0.0,veh37,741087756#0_0,69.5,44.64,!veh37!var#1,22.73,veh_passenger,0.0,23.725395,37.984074
59.0,0.0,2294.09,0.04,0.7,0.01,323.34,HBEFA3/PC_G_EU4,0.0,731.72,veh50,24218743_2,64.13,40.55,!veh50!var#1,13.26,veh_passenger,0.0,23.728429,37.98429
60.0,149.47,3752.1,0.77,1.67,0.08,259.48,HBEFA3/PC_G_EU4,0.0,1196.79,veh102,168725549#0_2,66.97,7.4,!veh102!var#1,2.3,veh_passenger,0.0,23.728013,37.984374
60.0,88.34,7890.36,0.6,3.1,0.16,192.43,HBEFA3/PC_G_EU4,0.0,2516.64,veh37,741087756#0_0,71.81,68.03,!veh37!var#1,23.39,veh_passenger,0.0,23.725331,37.98387
60.0,6.29,2787.57,0.09,0.93,0.02,298.62,HBEFA3/PC_G_EU4,0.0,889.12,veh50,24218743_2,64.57,53.95,!veh50!var#1,13.4,veh_passenger,0.0,23.72831,37.984365
61.0,126.04,3696.52,0.66,1.61,0.07,259.48,HBEFA3/PC_G_EU4,0.0,1179.05,veh102,168725549#0_2,63.94,11.18,!veh102!var#1,3.78,veh_passenger,0.0,23.727971,37.984369
61.0,0.0,3075.0,0.02,0.83,0.03,192.41,HBEFA3/PC_G_EU4,0.0,980.79,veh37,:250663746_1_0,70.23,6.24,!veh37!var#1,23.26,veh_passenger,0.0,23.725266,37.983667
