time_period,parse_lane_name(vehicle_lane),min(vehicle_CO2),max(vehicle_CO2),avg(vehicle_CO2),stddev(vehicle_CO2)
0.0,3731648988,0.0,35457.23,5006.339821428571,5762.069549558638
0.0,250720872,0.0,54387.17,8412.846875,11831.883829812981
0.0,298618900,0.0,45005.56,8537.316979166668,9658.74496028821
0.0,31616885,0.0,42520.96,9798.484146341461,8333.994772909931
0.0,97839383,0.0,0.0,0.0,0.0
0.0,251136499,0.0,11720.1,5946.4,4195.015793134753
0.0,215710661,0.0,21246.01,3791.2378378378385,4486.7327208294755
0.0,2313405235,0.0,25603.53,9900.761818181818,6441.372716519078
0.0,250920716,0.0,3094.18,1031.3933333333332,1786.4256559211562
1.0,803347418,0.0,39468.46,5023.6560445682435,7351.847357576226
1.0,98350942,0.0,26509.69,6523.205166666666,6579.07086246175
1.0,636474443,0.0,6913.13,4218.144666666666,1809.653375791171
1.0,662180435,0.0,43065.04,5908.692416666667,9299.70027080245
1.0,355615605,0.0,41969.73,13711.48052631579,12666.213684473298
1.0,353792192,0.0,9428.76,2228.485393258427,2641.0327263363606
1.0,815855463,0.0,16516.0,3929.5172000000002,4899.336671456007
1.0,664238682,0.0,26239.23,3224.866911764705,4060.3785050692436
1.0,1063011568,0.0,3583.47,358.347,1133.1927126883581
1.0,251144999,28365.35,28365.35,28365.35,
1.0,4333980577,0.0,25142.93,6113.972,10735.701418802128
1.0,250714051,0.0,53424.47,8751.786513409961,9145.827908568503
0.0,250692062,6977.05,25041.84,15781.4925,9574.506571677293
0.0,280010749,0.0,16100.55,3469.5489010989004,3844.9996238926137
0.0,6734986719,4805.45,21370.87,9697.150833333335,6529.5211596736945
0.0,250720871,0.0,16318.97,6020.898846153847,4670.785993570955
0.0,cluster_2605248062_304829075_304829200_304829608_,0.0,19850.7,5440.415466666667,5407.245308176871
0.0,250920978,0.0,26436.99,9667.17,10267.056312725426
0.0,584037857,0.0,32116.46,8740.8735,9569.485609979953
0.0,251136501,0.0,0.0,0.0,
0.0,101516440,0.0,9787.94,4223.232105263158,2771.275739794418
0.0,767331320,0.0,5941.19,3093.997272727273,1914.0716240051777
0.0,305143006,0.0,6408.4,2742.183333333334,3047.3664901528778
0.0,815855463,0.0,8032.92,2215.604705882353,2899.36899102011
