time_period,parse_lane_name(vehicle_lane),min(vehicle_fuel),max(vehicle_fuel),avg(vehicle_fuel),stddev(vehicle_fuel)
0.0,359096135,1471.32,9945.62,3363.1919047619053,2320.098921239392
0.0,353747121,0.0,5161.95,492.6855714285713,953.1322566448557
0.0,353769714,0.0,757.44,58.26461538461539,210.07605831441876
0.0,954315051,2122.71,9220.05,3672.013333333334,2009.5119882848687
0.0,30481589,0.0,5145.83,1409.64,1643.852140201315
0.0,97789076,0.0,11525.68,1851.031111111111,3638.760169454853
0.0,32015255,0.0,13246.38,1525.372750952991,1885.9335643843135
0.0,363382193,0.0,0.0,0.0,
0.0,251135284,0.0,5065.7,1074.6454545454546,1990.968932180327
0.0,651939696,0.0,2077.69,1003.2175,1159.8758495739964
0.0,295059514,0.0,2066.5,800.3687500000001,669.7061836877742
0.0,9685607731,0.0,554.73,184.91,320.27351482756114
0.0,250713292,0.0,1918.47,525.26,741.7245996325051
1.0,741087756,0.0,18399.34,2319.386352459015,3492.1283746589797
1.0,175509068,0.0,9071.22,2006.7024489795917,2541.607948983388
1.0,650854064,0.0,6041.31,1184.4183928571426,1478.343190106321
1.0,896087075,0.0,10925.74,1430.4202985074628,1869.2376900153472
1.0,632277796,786.43,12424.16,4427.369333333334,3263.262653089623
1.0,250691384,0.0,8798.31,3347.2450000000003,3611.077824399524
1.0,10976960,0.0,13453.26,1605.423594771242,2181.886661374742
1.0,86435395,0.0,912.62,489.54318181818195,418.32859239263513
1.0,50004617,630.48,1444.99,981.2028571428572,391.7980714055939
1.0,353745417,0.0,2279.81,284.97625,806.0345554084515
1.0,355615394,1945.34,2535.77,2240.555,417.4970568159733
1.0,66868001,0.0,1671.11,441.8691666666666,399.90475164284413
0.0,250691272,0.0,5589.52,781.3823076923078,1559.1888926947129
0.0,23216789,0.0,18559.15,4004.8320895522406,4019.494241433568
0.0,51043103,0.0,4204.49,588.3674509803919,902.8640011183148
0.0,97846023,0.0,5225.33,1777.9910227272726,1326.0042178440913
0.0,250711286,0.0,4216.85,1282.1200000000003,1378.2969338764901
0.0,359095357,0.0,0.0,0.0,0.0
0.0,844173360,2001.06,10123.54,6062.3,5743.46068805211
0.0,264095736,0.0,12099.98,2883.5334166666667,3144.9432332474194
0.0,1548471274,0.0,7831.42,2528.389090909091,2284.76975185446
0.0,250709640,0.0,0.0,0.0,
1.0,429282752,0.0,11789.86,1083.7559205776174,1882.2904898304416
1.0,751068056,0.0,10156.36,1227.1330508474578,1565.56500802423
1.0,32015255,0.0,16401.75,1754.4942820069184,2124.907013807427
1.0,906980926,0.0,11446.53,1429.8316438356164,2108.835342477121
1.0,359095747,0.0,9433.34,2643.5007142857144,3559.2910449596866
1.0,353770666,0.0,5894.81,1275.8053658536587,1635.9109271382986
1.0,46938927,0.0,11611.45,1670.4563917525775,2361.670346963615
1.0,98303803,863.43,8363.38,3385.8578947368424,2376.7109408722777
1.0,23216711,0.0,3008.02,1483.8866666666665,1386.4524412422759
