time_period,parse_lane_name(vehicle_lane),min(vehicle_HC),max(vehicle_HC),avg(vehicle_HC),stddev(vehicle_HC)
0.0,353745420,0.0,6.89,2.000952380952381,2.853301429505661
0.0,188661337,0.0,9.07,4.717499999999999,3.5884271220865434
0.0,688104223,0.0,11.09,1.3838761467889877,2.2258373856559546
0.0,97788586,0.0,8.79,2.0586666666666664,3.4476904622963938
0.0,251136461,0.0,5.26,0.995,2.106691719260319
0.0,48650461,0.0,1.03,0.46880000000000005,0.3714534515476558
0.0,45879106,0.0,0.66,0.29534482758620695,0.28280683083912245
0.0,6558555855,0.74,0.99,0.8266666666666667,0.14153915830374764
1.0,10976954,0.0,12.01,1.681167491749159,2.734948332934467
1.0,97789184,0.0,8.46,1.1479166666666667,2.1219760666737577
1.0,97846082,0.0,10.23,2.4396875,3.5997058824959836
1.0,353749650,0.0,6.5,1.342857142857143,2.1540966262292587
1.0,175509066,0.0,9.29,0.9868876080691645,2.03468836901572
1.0,250920248,0.0,7.28,2.404797570850194,2.0863563985617706
1.0,51249532,0.0,8.03,1.2101408450704227,2.1846088194834765
1.0,359095389,0.0,5.53,0.7884615384615384,1.4679114764058843
1.0,904572342,0.0,7.37,1.0923076923076924,2.4292768260196076
1.0,50826617,0.0,9.08,1.6058139534883724,2.476517699900539
1.0,11256819886,0.0,11.16,2.448,4.892557613355207
1.0,250699973,0.0,9.42,2.3672727272727276,3.0374757405547905
1.0,359094866,0.0,5.92,2.595,2.63523559984049
1.0,1172304051,0.17,0.17,0.17,
1.0,704135432,0.0,7.29,1.4372307692307695,2.40113873225569
1.0,49795118,0.0,6.94,2.3073913043478256,2.6333304481230337
0.0,468810769,0.0,11.71,1.720528455284553,2.606145822114673
0.0,355614519,0.0,10.12,3.992777777777778,3.7849388922809117
0.0,97846091,0.0,1.59,0.7123076923076924,0.47094150107619254
0.0,51105853,0.0,0.86,0.4100000000000001,0.3043572462310259
0.0,353746922,0.0,0.55,0.29000000000000004,0.27622454633866267
0.0,7127124359,0.02,0.81,0.41500000000000004,0.5586143571373726
0.0,8198127487,0.0,0.0,0.0,
1.0,251136323,0.0,8.01,1.9661394101876672,2.447584194489478
1.0,286067598,0.0,12.54,2.0092149703331788,3.2695145807126598
1.0,962356679,0.0,7.55,1.666978417266187,2.2828705723836924
1.0,250698925,0.0,6.97,1.0702702702702702,2.198791681233172
1.0,353767664,0.0,5.69,1.094,1.8630995679243767
1.0,353767051,0.0,6.24,3.302857142857143,2.9097119805100657
0.0,10976433,0.0,10.1,2.154395078605565,2.3064482616976725
