time_period,parse_lane_name(vehicle_lane),min(vehicle_PMx),max(vehicle_PMx),avg(vehicle_PMx),stddev(vehicle_PMx)
0.0,468810769,0.0,7.78,0.7417479674796732,1.5655596226713022
0.0,355614519,0.0,6.43,2.147222222222222,2.365001692713125
0.0,97846091,0.0,0.38,0.1453846153846154,0.11737513824027249
0.0,51105853,0.0,0.19,0.0796,0.06147357155721472
0.0,353746922,0.0,0.1,0.06,0.052915026221291815
0.0,7127124359,0.0,0.16,0.08,0.1131370849898476
0.0,8198127487,0.0,0.0,0.0,
1.0,251136323,0.0,4.66,0.8308847184986603,1.3006551368681658
1.0,286067598,0.0,8.55,1.0360702875399321,2.0021592984187393
1.0,962356679,0.0,4.24,0.6746043165467625,1.2386085380038419
1.0,250698925,0.0,3.56,0.4505405405405406,0.9979374508796616
1.0,353767664,0.0,2.53,0.38999999999999996,0.8561875628956209
1.0,353767051,0.0,3.19,1.5242857142857142,1.4251649862718485
0.0,10976433,0.0,6.46,0.8264114832535917,1.2196440635624928
0.0,632342873,0.02,7.06,1.3966666666666665,2.626589994650859
0.0,824855187,0.16,4.15,1.16625,1.7635835068729482
0.0,284174992,0.07,0.32,0.1917241379310345,0.07851610233017908
0.0,250920236,0.0,6.96,0.8984848484848451,1.339210075808118
0.0,251134491,0.0,3.01,0.45899999999999996,0.9716581987367852
0.0,725187180,0.0,5.94,0.7729824561403509,1.7109802588327216
0.0,359094650,0.0,6.93,1.213809523809524,2.4150206545503416
0.0,977757276,0.0,0.36,0.18464285714285714,0.08929693051243026
0.0,1102900327,0.0,4.02,0.7807142857142857,1.3765655829755459
1.0,170993800,0.0,6.13,0.5812762384550785,1.271796473106583
1.0,cluster_2605248062_304829075_304829200_304829608_,0.0,5.08,0.6213953488372095,1.1855139603946883
1.0,217698402,0.0,4.43,0.5306122448979592,1.2202090124292662
1.0,722947723,0.0,8.74,1.1220105820105821,2.4373198089194728
1.0,633562902,0.0,3.82,1.5453333333333332,1.699822959969095
1.0,815849127,0.0,3.13,0.7567391304347828,1.0741693531892926
1.0,251136574,0.0,4.97,0.87,1.694247620626926
1.0,361387955,0.0,2.04,0.2444444444444444,0.674390671478912
1.0,294492608,0.0,2.39,0.4531451612903222,0.8573833959787032
1.0,632242186,0.0,4.26,2.846,1.6611682636024563
0.0,355613603,0.0,2.96,0.403125,0.9935171110755969
0.0,353770666,0.0,3.28,0.6930434782608695,1.1699395275071764
0.0,251136547,0.0,5.52,1.7233333333333334,2.636290322909574
0.0,52493439,0.0,0.2,0.09125000000000003,0.06878711119582409
0.0,762743103,0.0,0.1,0.037,0.035916569992135945
0.0,736421288,0.0,0.19,0.058124999999999996,0.05787558495024766
1.0,917870259,0.0,4.84,0.2264563106796116,0.7129550771152215
1.0,229732627,0.0,5.57,0.659474903474902,1.2324014464844788
1.0,295081898,0.0,0.21,0.05050632911392403,0.04004452089805407
1.0,5519180248,0.0,3.68,0.36666666666666664,1.005618501932304
1.0,97789005,0.0,4.82,0.78141592920354,1.2943219869164797
1.0,569847095,0.12,3.74,2.3000000000000003,1.9201041638411183
1.0,1124412513,0.0,0.11,0.05966666666666663,0.025905085337201334
1.0,250712698,0.0,5.21,0.7053333333333334,1.7937903471486876
1.0,251136502,0.0,4.32,2.16,3.0547012947258856
1.0,188661337,0.0,0.21,0.08083333333333333,0.07113469566629375
1.0,23217604,0.0,4.69,0.6031818181818183,1.4189210735580091
1.0,429282753,0.0,3.07,0.14923076923076922,0.603688151793113
1.0,251136570,0.0,3.82,1.10875,1.4742788794138353
1.0,678788075,0.0,0.16,0.08666666666666667,0.0808290376865476
0.0,363391447,0.0,5.39,0.8287499999999999,1.4155399061158436
0.0,97846093,0.08,0.1,0.09000000000000001,0.010000000000000002
0.0,242137,0.0,0.06,0.02666666666666666,0.028069178610689485
0.0,250921557,0.1,0.1,0.1,
0.0,7785719852,0.0,0.0,0.0,
0.0,31767684,0.0,0.19,0.04781249999999999,0.04835282858061182
0.0,727447798,0.0,0.0,0.0,
1.0,250700085,0.0,4.88,0.8492452830188677,1.2496874210048314
1.0,391433168,0.0,4.5,0.41137614678899087,1.0275874909943086
1.0,1101347640,0.0,5.75,0.5210928961748666,1.0103965129983739
1.0,353747121,0.0,3.11,0.14819767441860465,0.5157696870241983
1.0,32015537,0.0,1.35,0.13317073170731705,0.24160409431971674
1.0,23216841,0.0,5.64,0.4959701492537314,1.2433879979266116
1.0,250699362,0.0,5.95,0.7463302752293576,1.4112823565496229
1.0,234440706,0.0,4.78,0.9245714285714286,1.5347769999450864
1.0,10976970,0.0,4.11,0.6279999999999999,1.2505767558299739
1.0,1053964639,0.07,0.17,0.10600000000000001,0.03847076812334269
1.0,250921486,0.0,0.0,0.0,0.0
1.0,6356544246,0.0,4.68,0.7185714285714285,1.475480923646238
1.0,355613018,0.0,0.04,0.02,0.0282842712474619
1.0,2299673255,0.0,4.94,1.235,2.47
0.0,cluster_2113408277_212986801_6281867407_6356544243_,0.0,1.11,0.14523809523809522,0.24173578650293068
0.0,10741757,0.0,2.2,0.17108108108108125,0.2684780362826171
0.0,250711516,0.0,2.8,0.6092307692307692,1.050995254813753
